Species_Name	Phylum	Class	Taxonomic group	Shape	Elongation	Size	Group	Trophism	MFT	Mode of feeding	ability to use NO3 	Harmful
Chaetoceros_tetrastichon	Ochrophyta	Mediophyceae	Diatoms	Prism elliptic base	No	10<length<20	D-M-SP1	autotroph	autotroph	autotroph	autotroph	no_harmful
Chaetoceros_furcellatus	Ochrophyta	Mediophyceae	Diatoms	Prism elliptic base	No	10<length<20	D-M-SP1	autotroph	autotroph	autotroph	autotroph	no_harmful
Chaetoceros_holsaticus	Ochrophyta	Mediophyceae	Diatoms	Prism elliptic base	No	10<length<20	D-M-SP1	autotroph	autotroph	autotroph	autotroph	no_harmful
Chaetoceros_tortissimus	Ochrophyta	Mediophyceae	Diatoms	Prism elliptic base	No	20<length<100	D-L-SP1	autotroph	autotroph	autotroph	autotroph	no_harmful
Chaetoceros_coarctatus	Ochrophyta	Mediophyceae	Diatoms	Prism elliptic base	No	20<length<100	D-L-SP1	autotroph	autotroph	autotroph	autotroph	no_harmful
Chaetoceros_compressus	Ochrophyta	Mediophyceae	Diatoms	Prism elliptic base	No	10<length<20	D-M-SP1	autotroph	autotroph	autotroph	autotroph	no_harmful
Chaetoceros_constrictus	Ochrophyta	Mediophyceae	Diatoms	Prism elliptic base	No	10<length<20	D-M-SP1	autotroph	autotroph	autotroph	autotroph	no_harmful
Chaetoceros_costatus	Ochrophyta	Mediophyceae	Diatoms	Prism elliptic base	No	20<length<100	D-L-SP1	autotroph	autotroph	autotroph	autotroph	no_harmful
Chaetoceros_curvisetus	Ochrophyta	Mediophyceae	Diatoms	Prism elliptic base	No	10<length<20	D-M-SP1	autotroph	autotroph	autotroph	autotroph	no_harmful
Chaetoceros_decipiens	Ochrophyta	Mediophyceae	Diatoms	Prism elliptic base	No	20<length<100	D-L-SP1	autotroph	autotroph	autotroph	autotroph	no_harmful
Chaetoceros_didymus	Ochrophyta	Mediophyceae	Diatoms	Prism elliptic base	No	10<length<20	D-M-SP1	autotroph	autotroph	autotroph	autotroph	no_harmful
Chaetoceros_didymus_var.anglicus	Ochrophyta	Mediophyceae	Diatoms	Prism elliptic base	No	10<length<20	D-M-SP1	autotroph	autotroph	autotroph	autotroph	no_harmful
Chaetoceros_laciniosus	Ochrophyta	Mediophyceae	Diatoms	Prism elliptic base	No	10<length<20	D-M-SP1	autotroph	autotroph	autotroph	autotroph	no_harmful
Chaetoceros_laevis	Ochrophyta	Mediophyceae	Diatoms	Prism elliptic base	No	10<length<20	D-M-SP1	autotroph	autotroph	autotroph	autotroph	no_harmful
Chaetoceros_lorenzianus	Ochrophyta	Mediophyceae	Diatoms	Prism elliptic base	No	20<length<100	D-L-SP1	autotroph	autotroph	autotroph	autotroph	no_harmful
Chaetoceros_messanensis	Ochrophyta	Mediophyceae	Diatoms	Prism elliptic base	No	10<length<20	D-M-SP1	autotroph	autotroph	autotroph	autotroph	no_harmful
Chaetoceros_peruvianus	Ochrophyta	Mediophyceae	Diatoms	Prism elliptic base	No	20<length<100	D-L-SP1	autotroph	autotroph	autotroph	autotroph	no_harmful
Chaetoceros_pseudocurvisetus	Ochrophyta	Mediophyceae	Diatoms	Prism elliptic base	No	10<length<20	D-M-SP1	autotroph	autotroph	autotroph	autotroph	no_harmful
Chaetoceros_simplex	Ochrophyta	Mediophyceae	Diatoms	Prism elliptic base	No	10<length<20	D-M-SP1	autotroph	autotroph	autotroph	autotroph	no_harmful
Chaetoceros	Ochrophyta	Mediophyceae	Diatoms	Prism elliptic base	No	10>length<100	D-SML-SP1	autotroph	autotroph	autotroph	autotroph	no_harmful
Chaetoceros_tenuissimus	Ochrophyta	Mediophyceae	Diatoms	Prism elliptic base	No	20<length<100	D-L-SP1	autotroph	autotroph	autotroph	autotroph	no_harmful
Chaetoceros_throndsenii	Ochrophyta	Mediophyceae	Diatoms	Prism elliptic base	No	10>length	D-S-SP1	autotroph	autotroph	autotroph	autotroph	no_harmful
Chaetoceros_wighamii	Ochrophyta	Mediophyceae	Diatoms	Prism elliptic base	No	10>length	D-S-SP1	autotroph	autotroph	autotroph	autotroph	HAB_non-toxigenic
Chlamydomonas	Chlorophyta	Chlorophyceae	Others	Sphere	No	10<length<20	O-M-4	autotroph	autotroph	autotroph	autotroph	no_harmful
Chlorella	Chlorophyta	Trebouxiophyceae	Others	Sphere	No	10>length	O-S-4	autotroph	autotroph	autotroph	autotroph	no_harmful
Chrysophyceae	Ochrophyta	Chrysophyceae	Others	Prolate spheroid	No	10>length	O-S-13	autotroph	autotroph	autotroph	autotroph	no_harmful
Climacodium_frauenfeldianum	Ochrophyta	Mediophyceae	Diatoms	Prism elliptic base	No	length>100	D-XL-10C	autotroph	autotroph	autotroph	autotroph	no_harmful
Climacosphenia	Ochrophyta	Mediophyceae	Diatoms	Prism elliptic base	Elongated	length>100	D-XL-10CE	autotroph	autotroph	autotroph	autotroph	no_harmful
Cocconeis_scutellum	Ochrophyta	Bacillariophyceae	Diatoms	Prism elliptic base	No	20<length<100	D-L-10	autotroph	autotroph	autotroph	autotroph	no_harmful
Cocconeis	Ochrophyta	Bacillariophyceae	Diatoms	Prism elliptic base	No	20<length<100	D-L-10	autotroph	autotroph	autotroph	autotroph	no_harmful
Coelastrum	Chlorophyta	Chlorophyceae	Others	Sphere	No	10>length	O-S-4	autotroph	autotroph	autotroph	autotroph	no_harmful
Coelosphaerium	Cyanobacteria	Cyanophyceae	Others	Prolate spheroid	No	10<length<20	O-M-13	autotroph	autotroph	autotroph	autotroph	no_harmful
Corythodinium_tesselatum	Dinophyta	Dinophyceae	Dinoflagellates	Prolate spheroid	No	20<length<100	DN-L-13	autotroph	autotroph	autotroph	autotroph	no_harmful
Coscinodiscus_argus	Ochrophyta	Coscinodiscophycidae	Diatoms	Cylinder	No	length>100	D-XL-12	autotroph	autotroph	autotroph	autotroph	no_harmful
Coscinodiscus_perforatusvar.cellulosus	Ochrophyta	Coscinodiscophycidae	Diatoms	Cylinder	No	length>100	D-XL-12	autotroph	autotroph	autotroph	autotroph	no_harmful
Coscinodiscus	Ochrophyta	Coscinodiscophycidae	Diatoms	Cylinder	No	20<length>100	D-LXL-12	autotroph	autotroph	autotroph	autotroph	no_harmful
Cosmarium_laeve	Charophyta	Zygnematophyceae	Others	Double ellipsoid	No	20<length<100	O-L-16	autotroph	autotroph	autotroph	autotroph	no_harmful
Cosmarium_margaritiferum	Charophyta	Zygnematophyceae	Others	Double ellipsoid	No	20<length<100	O-L-16	autotroph	autotroph	autotroph	autotroph	no_harmful
Cosmarium	Charophyta	Zygnematophyceae	Others	Double ellipsoid	No	20<length<100	O-L-16	autotroph	autotroph	autotroph	autotroph	no_harmful
Crucigenia	Chlorophyta	Trebouxiophyceae	Others	Cube	No	10>length	O-S-3	autotroph	autotroph	autotroph	autotroph	no_harmful
Cryptomonas_ovata	Cryptophyta	Cryptophyceae	Others	Prolate spheroid	No	10<length<20	O-M-13	autotroph	autotroph	autotroph	autotroph	no_harmful
Cryptophyceae	Cryptophyta	Cryptophyceae	Others	Half sphere_ellipsoid_cone	No	10>length<20	O-SM-19	autotroph	autotroph	autotroph	autotroph	no_harmful
Cyclotella_litoralis	Ochrophyta	Mediophyceae	Diatoms	Cylinder	No	20<length<100	D-L-12	autotroph	autotroph	autotroph	autotroph	no_harmful
Cyclotella_meneghiniana	Ochrophyta	Mediophyceae	Diatoms	Cylinder	No	20<length<100	D-L-12	autotroph	autotroph	autotroph	autotroph	no_harmful
Cyclotella	Ochrophyta	Mediophyceae	Diatoms	Cylinder	No	20<length<100	D-L-12	autotroph	autotroph	autotroph	autotroph	no_harmful
Cylindrotheca_closterium	Ochrophyta	Bacillariophyceae	Diatoms	Prolate spheroid	Elongated	length>100	D-XL-13CE	autotroph	autotroph	autotroph	autotroph	no_harmful
Cymatosira	Ochrophyta	Bacillariophyceae	Diatoms	Prism parallelogram base	No	length>100	D-XL-8	autotroph	autotroph	autotroph	autotroph	no_harmful
Dactyliosolen_fragilissimus	Ochrophyta	Coscinodiscophycidae	Diatoms	Cylinder	Elongated	20<length<100	D-L-12E	autotroph	autotroph	autotroph	autotroph	no_harmful
Dactyliosolen	Ochrophyta	Coscinodiscophycidae	Diatoms	Cylinder	Elongated	20<length<100	D-L-12E	autotroph	autotroph	autotroph	autotroph	no_harmful
Desmodesmus_armatus	Chlorophyta	Chlorophyceae	Others	Prolate spheroid	No	10<length<20	O-M-13	autotroph	autotroph	autotroph	autotroph	no_harmful
Desmodesmus_communis	Chlorophyta	Chlorophyceae	Others	Prolate spheroid	No	10<length<20	O-M-13	autotroph	autotroph	autotroph	autotroph	no_harmful
Desmodesmus_flavescens	Chlorophyta	Chlorophyceae	Others	Prolate spheroid	No	10>length	O-S-13	autotroph	autotroph	autotroph	autotroph	no_harmful
Desmodesmus	Chlorophyta	Chlorophyceae	Others	Prolate spheroid	No	10>length<20	O-SM-13	NA	NA	NA	NA	NA
Diatoma	Ochrophyta	Bacillariophyceae	Diatoms	Prism elliptic base	No	20<length<100	D-L-10	autotroph	autotroph	autotroph	autotroph	no_harmful
Dictyocha_fibula	Ochrophyta	Dictyochophyceae	Others	Sphere	No	10<length<20	O-M-4	autotroph	autotroph	autotroph	autotroph	no_harmful
Dictyocha	Ochrophyta	Dictyochophyceae	Others	Sphere	No	10<length<20	O-M-4	autotroph	autotroph	autotroph	autotroph	no_harmful
Dictyosphaerium	Chlorophyta	Trebouxiophyceae	Others	Prolate spheroid	No	10>length	O-S-13	autotroph	autotroph	autotroph	autotroph	no_harmful
Dinophysis_acuminata	Dinophyta	Dinophyceae	Dinoflagellates	Ellipsoid	No	20<length<100	DN-L-5	mixotroph	pSNCM	feeding tube	no	HAB
Dinophysis_caudata	Dinophyta	Dinophyceae	Dinoflagellates	Half sphere_ellipsoid_cone	No	20<length<100	DN-L-19	mixotroph	pSNCM	feeding tube	not recorded	HAB
Dinophysis_hastata	Dinophyta	Dinophyceae	Dinoflagellates	Ellipsoid	No	20<length<100	DN-L-5	autotroph	autotroph	autotroph	autotroph	no_harmful
Dinophysis	Dinophyta	Dinophyceae	Dinoflagellates	Ellipsoid	No	20<length<100	DN-L-5	autotroph	autotroph	autotroph	autotroph	no_harmful
Diploneis_crabro	Ochrophyta	Bacillariophyceae	Diatoms	Prism elliptic base	No	20<length<100	D-L-10	autotroph	autotroph	autotroph	autotroph	no_harmful
Diploneis	Ochrophyta	Bacillariophyceae	Diatoms	Prism elliptic base	No	20<length<100	D-L-10	autotroph	autotroph	autotroph	autotroph	no_harmful
Entomoneis_alata	Ochrophyta	Bacillariophyceae	Diatoms	Prism elliptic base	No	20<length<100	D-L-10	autotroph	autotroph	autotroph	autotroph	no_harmful
Eremosphaera	Chlorophyta	Trebouxiophyceae	Others	Prolate spheroid	No	10<length<20	O-M-13	autotroph	autotroph	autotroph	autotroph	no_harmful
Eucampia	Ochrophyta	Mediophyceae	Diatoms	Prism elliptic base	No	20<length<100	D-L-10	autotroph	autotroph	autotroph	autotroph	no_harmful
Euglena_proxima_variabilis	Euglenophyta	Euglenophyceae	Others	Half sphere_ellipsoid_cone	Elongated	20<length<100	O-L-19E	autotroph	autotroph	autotroph	autotroph	no_harmful
Euglena	Euglenophyta	Euglenophyceae	Others	Half sphere_ellipsoid_cone	Elongated	20<length<100	O-L-19E	autotroph	autotroph	autotroph	autotroph	no_harmful
Eunotia_depressa	Ochrophyta	Bacillariophyceae	Diatoms	Prism Sickle-shaped	No	20<length<100	D-L-11	autotroph	autotroph	autotroph	autotroph	no_harmful
Fragilaria	Ochrophyta	Bacillariophyceae	Diatoms	Prism elliptic base	No	length>100	D-XL-10	autotroph	autotroph	autotroph	autotroph	no_harmful
Fragilariopsis	Ochrophyta	Bacillariophyceae	Diatoms	Prism elliptic base	Elongated	20<length<100	D-L-10E	autotroph	autotroph	autotroph	autotroph	no_harmful
Genicularina_elegans	Charophyta	Zygnematophyceae	Others	Cylinder	Elongated	length>100	O-XL-12E	autotroph	autotroph	autotroph	autotroph	no_harmful
Glenodinium	Dinophyta	Dinophyceae	Dinoflagellates	Ellipsoid	No	20<length<100	DN-L-5	autotroph	autotroph	autotroph	autotroph	no_harmful
Gloeocystis	Chlorophyta	Chlorophyceae	Others	Prolate spheroid	No	10>length	O-S-13	autotroph	autotroph	autotroph	autotroph	no_harmful
Gomphosphaeria_aponina	Cyanobacteria	Cyanophyceae	Others	Sphere	No	20<length<100	O-L-4	autotroph	autotroph	autotroph	autotroph	no_harmful
Gonyaulax_polygramma	Dinophyta	Dinophyceae	Dinoflagellates	Double cone	No	20<length<100	DN-L-17	mixotroph	CM	engulfment	yes	HAB_non-toxigenic
Gonyaulax	Dinophyta	Dinophyceae	Dinoflagellates	Double cone	No	20<length<100	DN-L-17	autotroph	autotroph	autotroph	autotroph	no_harmful
Grammatophora_serpentina	Ochrophyta	Bacillariophyceae	Diatoms	Prism elliptic base	No	20<length<100	D-L-10	autotroph	autotroph	autotroph	autotroph	no_harmful
Grammatophora_marina	Ochrophyta	Bacillariophyceae	Diatoms	Prism elliptic base	No	20<length<100	D-L-10	autotroph	autotroph	autotroph	autotroph	no_harmful
Grammatophora_oceanica	Ochrophyta	Bacillariophyceae	Diatoms	Prism elliptic base	No	20<length<100	D-L-10	autotroph	autotroph	autotroph	autotroph	no_harmful
Grammatophora	Ochrophyta	Bacillariophyceae	Diatoms	Prism elliptic base	No	20<length<100	D-L-10	autotroph	autotroph	autotroph	autotroph	no_harmful
Guinardia_delicatula	Ochrophyta	Coscinodiscophycidae	Diatoms	Cylinder	Elongated	20<length<100	D-L-12E	autotroph	autotroph	autotroph	autotroph	no_harmful
Guinardia_flaccida	Ochrophyta	Coscinodiscophycidae	Diatoms	Cylinder	Elongated	length>100	D-XL-12E	autotroph	autotroph	autotroph	autotroph	no_harmful
Guinardia_striata	Ochrophyta	Coscinodiscophycidae	Diatoms	Cylinder	Elongated	length>100	D-XL-12E	autotroph	autotroph	autotroph	autotroph	HAB_non-toxigenic
Guinardia	Ochrophyta	Coscinodiscophycidae	Diatoms	Cylinder	Elongated	length>100	D-XL-12E	autotroph	autotroph	autotroph	autotroph	NA
Gymnodinium	Dinophyta	Dinophyceae	Dinoflagellates	Ellipsoid	Elongated	20<length<100	DN-L-5E	autotroph	autotroph	autotroph	autotroph	no_harmful
Gyrodinium	Dinophyta	Dinophyceae	Dinoflagellates	Ellipsoid	Elongated	length>100	DN-XL-8E	autotroph	autotroph	autotroph	autotroph	no_harmful
Gyrosigma	Ochrophyta	Bacillariophyceae	Diatoms	Prism parallelogram base	Elongated	length>100	D-XL-8E	autotroph	autotroph	autotroph	autotroph	no_harmful
Hemiaulus_hauckii	Ochrophyta	Mediophyceae	Diatoms	Prism elliptic base	Elongated	20<length<100	D-L-10E	autotroph	autotroph	autotroph	autotroph	no_harmful
Hemiaulus_membranaceus	Ochrophyta	Mediophyceae	Diatoms	Prism elliptic base	Elongated	20<length<100	D-L-10E	autotroph	autotroph	autotroph	autotroph	no_harmful
Hemiaulus_sinensis	Ochrophyta	Mediophyceae	Diatoms	Prism elliptic base	Elongated	20<length<100	D-L-10E	autotroph	autotroph	autotroph	autotroph	no_harmful
Hemiaulus	Ochrophyta	Mediophyceae	Diatoms	Prism elliptic base	Elongated	20<length<100	D-L-10E	autotroph	autotroph	autotroph	autotroph	no_harmful
Heterocapsa_ovata	Dinophyta	Dinophyceae	Dinoflagellates	Double cone	No	10<length<20	DN-M-17	autotroph	autotroph	autotroph	autotroph	HAB
Heterocapsa_pygmaea_psammophila	Dinophyta	Dinophyceae	Dinoflagellates	Double cone	No	10<length<20	DN-M-17	autotroph	autotroph	autotroph	autotroph	no_harmful
Heterocapsa_rotundata	Dinophyta	Dinophyceae	Dinoflagellates	Double cone	No	10<length<20	DN-M-17	mixotroph	CM	engulfment	yes	no_harmful
Heterocapsa	Dinophyta	Dinophyceae	Dinoflagellates	Double cone	No	10<length<20	DN-M-17	autotroph	autotroph	autotroph	autotroph	no_harmful
Histioneis_costata	Dinophyta	Dinophyceae	Dinoflagellates	Ellipsoid	No	20<length<100	DN-L-5	autotroph	autotroph	autotroph	autotroph	no_harmful
Histioneis_elongata	Dinophyta	Dinophyceae	Dinoflagellates	Ellipsoid	No	20<length<100	DN-L-5	mixotroph	eSNCM	not recorded	not recorded	no_harmful
Hobaniella_longicruris	Ochrophyta	Mediophyceae	Diatoms	Prism elliptic base	Elongated	20<length<100	D-L-10E	autotroph	autotroph	autotroph	autotroph	no_harmful
Kirchneriella_obesa	Chlorophyta	Chlorophyceae	Others	Double cone	No	10<length<20	O-M-17	autotroph	autotroph	autotroph	autotroph	no_harmful
Kirchneriella	Chlorophyta	Chlorophyceae	Others	Double cone	No	10<length<20	O-M-17	autotroph	autotroph	autotroph	autotroph	no_harmful
Lemmermannia_tetrapedia	Chlorophyta	Trebouxiophyceae	Others	Cube	No	10>length	O-S-3	autotroph	autotroph	autotroph	autotroph	no_harmful
Lemmermanniatriangularis	Chlorophyta	Trebouxiophyceae	Others	Sphere	No	10>length	O-S-4	autotroph	autotroph	autotroph	autotroph	no_harmful
Leptocylindrus_danicus	Ochrophyta	Mediophyceae	Diatoms	Cylinder	Elongated	20<length<100	D-L-12E	autotroph	autotroph	autotroph	autotroph	no_harmful
Leptocylindrus_minimus	Ochrophyta	Mediophyceae	Diatoms	Cylinder	Elongated	20<length<100	D-L-12E	autotroph	autotroph	autotroph	autotroph	no_harmful
Leptocylindrus	Ochrophyta	Mediophyceae	Diatoms	Cylinder	Elongated	20<length<100	D-L-12E	autotroph	autotroph	autotroph	autotroph	no_harmful
Leucocryptos_marina	Cryptophyta	Katablepharidophyceae	Others	Half sphere_ellipsoid_cone	No	10>length	O-S-19C	autotroph	autotroph	autotroph	autotroph	no_harmful
Licmophora	Ochrophyta	Bacillariophyceae	Diatoms	Gomphonemoid	Elongated	length>100	D-XL-15E	autotroph	autotroph	autotroph	autotroph	no_harmful
Licmophora_flabellata	Ochrophyta	Bacillariophyceae	Diatoms	Gomphonemoid	Elongated	length>100	D-XL-15E	autotroph	autotroph	autotroph	autotroph	no_harmful
Lithodesmium_undulatum	Ochrophyta	Mediophyceae	Diatoms	Prism triangular base	Elongated	20<length<100	D-L-9E	autotroph	autotroph	autotroph	autotroph	no_harmful
Lohmannosphaera	Haptophyta	Prymnesiophyceae	Others	Prolate spheroid	No	20<length<100	O-L-13	autotroph	autotroph	autotroph	autotroph	no_harmful
Luticola	Ochrophyta	Bacillariophyceae	Diatoms	Prism elliptic base	No	10<length<20	D-M-10	autotroph	autotroph	autotroph	autotroph	no_harmful
Melosira_arctica	Ochrophyta	Coscinodiscophycidae	Diatoms	Cylinder	No	20<length<100	D-L-12E	autotroph	autotroph	autotroph	autotroph	no_harmful
Melosira_nummuloides	Ochrophyta	Coscinodiscophycidae	Diatoms	Cylinder	No	20<length<100	D-L-12E	autotroph	autotroph	autotroph	autotroph	no_harmful
Melosira	Ochrophyta	Coscinodiscophycidae	Diatoms	Cylinder	No	20<length<100	D-L-12E	autotroph	autotroph	autotroph	autotroph	no_harmful
Melosira_varians	Ochrophyta	Coscinodiscophycidae	Diatoms	Cylinder	No	20<length<100	D-L-12E	autotroph	autotroph	autotroph	autotroph	no_harmful
Membraneis_challengeri	Ochrophyta	Bacillariophyceae	Diatoms	Prism elliptic base	Elongated	20<length<100	D-L-10E	autotroph	autotroph	autotroph	autotroph	no_harmful
Meringosphaera	Ochrophyta	Xanthophyceae	Others	Sphere	No	10>length	O-S-4	autotroph	autotroph	autotroph	autotroph	no_harmful
Meuniera_membranacea	Ochrophyta	Bacillariophyceae	Diatoms	Prism elliptic base	Elongated	20<length<100	D-L-10E	autotroph	autotroph	autotroph	autotroph	no_harmful
Monoraphidium_contortum	Chlorophyta	Chlorophyceae	Others	Cylinder	No	20<length<100	O-L-12	autotroph	autotroph	autotroph	autotroph	no_harmful
Monoraphidium_griffithii	Chlorophyta	Chlorophyceae	Others	Cylinder	No	20<length<100	O-L-12	autotroph	autotroph	autotroph	autotroph	no_harmful
Navicula	Ochrophyta	Bacillariophyceae	Diatoms	Prism elliptic base	Elongated	20<length<100	D-L-10E	autotroph	autotroph	autotroph	autotroph	no_harmful
Navicula_transitans	Ochrophyta	Bacillariophyceae	Diatoms	Prism elliptic base	Elongated	20<length<100	D-L-10E	autotroph	autotroph	autotroph	autotroph	no_harmful
Neglectellasolitaria	Chlorophyta	Trebouxiophyceae	Others	Prolate spheroid	No	20<length<100	O-L-13	autotroph	autotroph	autotroph	autotroph	no_harmful
Nephrocytium_agardhianum	Chlorophyta	Trebouxiophyceae	Others	Prolate spheroid	No	10<length<20	O-M-13	autotroph	autotroph	autotroph	autotroph	no_harmful
Nitzschia_acicularis	Ochrophyta	Bacillariophyceae	Diatoms	Prism parallelogram base	Elongated	length>100	D-XL-8E	autotroph	autotroph	autotroph	autotroph	no_harmful
Nitzschia_sigma	Ochrophyta	Bacillariophyceae	Diatoms	Prism parallelogram base	Elongated	length>100	D-XL-8E	autotroph	autotroph	autotroph	autotroph	no_harmful
Nitzschia_incerta	Ochrophyta	Bacillariophyceae	Diatoms	Prism parallelogram base	Elongated	length>100	D-XL-8E	autotroph	autotroph	autotroph	autotroph	no_harmful
Nitzschia_sigmoidea	Ochrophyta	Bacillariophyceae	Diatoms	Prism parallelogram base	Elongated	length>100	D-XL-8E	autotroph	autotroph	autotroph	autotroph	no_harmful
